epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,5956.43,1.5051,1.84913,1.13033,1.10977,0.32095,0.22354,0.24775,0.10644,0.84325,0.27939,0.43752,0.15597,2.57597,2.77417,2.0659,1.33593,0.000347561,0.000347561,0.000347561
46,6080.41,1.54388,1.94065,1.13376,1.12413,0.31031,0.32842,0.26182,0.1113,0.82162,0.29818,0.45311,0.18692,2.56203,2.74963,1.92882,1.33565,0.000309964,0.000309964,0.000309964
47,6204.1,1.53892,1.88484,1.15254,1.14869,0.30735,0.35548,0.3086,0.13438,0.41963,0.4258,0.43653,0.17823,2.44391,2.71863,1.79107,1.31313,0.000274287,0.000274287,0.000274287
48,6328.4,1.48231,1.86204,1.1327,1.09442,0.37799,0.33842,0.34213,0.14932,0.4229,0.4258,0.43071,0.14492,2.37895,2.76576,1.67991,1.32521,0.000240625,0.000240625,0.000240625
49,6454.09,1.48476,1.83505,1.10096,1.11353,0.38538,0.33963,0.34052,0.14701,0.42453,0.42093,0.42105,0.14583,2.38161,2.78025,1.69169,1.32109,0.000209073,0.000209073,0.000209073
50,6579.42,1.50411,1.90411,1.12278,1.08126,0.78667,0.22265,0.39091,0.14567,0.42282,0.40247,0.40521,0.1396,2.41808,2.88755,1.71096,1.3376,0.000179716,0.000179716,0.000179716
51,6703.95,1.49451,1.90238,1.14395,1.10645,0.39546,0.34726,0.40918,0.15414,0.41393,0.50247,0.40726,0.13706,2.4102,3.00461,1.75524,1.33757,0.000152635,0.000152635,0.000152635
52,6830.67,1.38992,1.82373,1.08388,1.09429,0.51779,0.29322,0.38959,0.16036,0.4042,0.50247,0.41188,0.1368,2.40176,3.01418,1.78222,1.33393,0.000127904,0.000127904,0.000127904
53,6963.22,1.41149,1.79644,1.09585,1.12319,0.74331,0.30588,0.40909,0.16184,0.40329,0.51605,0.41285,0.14105,2.38305,2.96181,1.79144,1.32269,0.00010559,0.00010559,0.00010559
54,7088.2,1.53011,1.81539,1.15027,1.10774,0.36549,0.43856,0.3981,0.15991,0.4081,0.52962,0.42569,0.14089,2.38144,2.94224,1.807,1.31997,8.57554e-05,8.57554e-05,8.57554e-05
55,7214.13,1.42246,1.79613,1.06823,1.09592,0.3666,0.42692,0.37711,0.16128,0.41803,0.52901,0.42454,0.14173,2.38554,2.90868,1.79246,1.31505,6.8454e-05,6.8454e-05,6.8454e-05
56,7343.42,1.54384,1.87648,1.14457,1.12064,0.36981,0.42117,0.36221,0.16351,0.42236,0.52962,0.42698,0.14958,2.39796,2.86803,1.80095,1.31558,5.37334e-05,5.37334e-05,5.37334e-05
57,7468.08,1.46546,1.86122,1.10259,1.09808,0.3587,0.42117,0.36303,0.16356,0.41296,0.52962,0.42726,0.17895,2.402,2.85874,1.78879,1.31804,4.16339e-05,4.16339e-05,4.16339e-05
58,7592.6,1.44423,1.83117,1.06861,1.05512,0.36542,0.42605,0.36564,0.16374,0.42029,0.52962,0.42458,0.17702,2.4037,2.87122,1.78287,1.31752,3.21885e-05,3.21885e-05,3.21885e-05
59,7716.08,1.41963,1.8878,1.0817,1.07735,0.36489,0.43475,0.38727,0.16686,0.41532,0.52962,0.43005,0.17032,2.39018,2.86581,1.77008,1.31418,2.54233e-05,2.54233e-05,2.54233e-05
60,7844.13,1.39269,1.73514,1.03314,1.05134,0.35149,0.43475,0.38804,0.16787,0.40171,0.52962,0.42632,0.17908,2.39772,2.86604,1.76358,1.32025,2.13568e-05,2.13568e-05,2.13568e-05
